Data,Umidade (%),pH,P,K,Decisão,Justificativa
17/06/2025 10:38,50,6.5,Presente,Ausente,Desligar a bomba de irrigação,"*Relatório:* - Umidade ideal (40‑80%) - pH ideal (5.5‑8.0)  *Feedback:* - Sem necessidade urgente - Potássio ausente  *Sugestões:* - Aplicar fertilizantes com potássio, como cloreto de potássio."
17/06/2025 10:38,50,6.5,Ausente,Ausente,Desligar a bomba de irrigação,*Relatório:* - Umidade ideal (40‑80%) - pH ideal (5.5‑8.0)  *Feedback:* - Sem necessidade urgente - Fósforo e Potássio ausentes  *Sugestões:* - Aplicar adubos ricos em fósforo (P) e potássio (K).
17/06/2025 10:38,50,6.5,Ausente,Presente,Desligar a bomba de irrigação,"*Relatório:* - Umidade ideal (40‑80%) - pH ideal (5.5‑8.0)  *Feedback:* - Sem necessidade urgente - Fósforo ausente  *Sugestões:* - Aplicar fertilizantes com fósforo, como superfosfato."
17/06/2025 10:45,31,6.5,Presente,Ausente,Ligar a bomba de irrigação,"*Relatório:* - Umidade baixa (<40%) - pH ideal (5.5‑8.0)  *Feedback:* - Irrigação recomendada - Potássio ausente  *Sugestões:* - Aplicar fertilizantes com potássio, como cloreto de potássio."
17/06/2025 10:45,73,6.5,Presente,Ausente,Desligar a bomba de irrigação,"*Relatório:* - Umidade ideal (40‑80%) - pH ideal (5.5‑8.0)  *Feedback:* - Sem necessidade urgente - Potássio ausente  *Sugestões:* - Aplicar fertilizantes com potássio, como cloreto de potássio."
17/06/2025 10:50,77,5.6,Ausente,Presente,Desligar a bomba de irrigação,"*Relatório:* - Umidade ideal (40‑80%) - pH ideal (5.5‑8.0)  *Feedback:* - Sem necessidade urgente - Fósforo ausente  *Sugestões:* - Aplicar fertilizantes com fósforo, como superfosfato."
17/06/2025 10:59,77,5.6,Ausente,Presente,Desligar a bomba de irrigação,"*Relatório:* - Umidade ideal (40‑80%) - pH ideal (5.5‑8.0)  *Feedback:* - Sem necessidade urgente - Fósforo ausente  *Sugestões:* - Aplicar fertilizantes com fósforo, como superfosfato."
17/06/2025 11:33,30,6.0,Presente,Presente,Ligar a bomba de irrigação,*Relatório:* - Umidade baixa (<40%) - pH ideal (5.5‑8.0)  *Feedback:* - Irrigação recomendada - P e K presentes
17/06/2025 11:47,36,4.8,Ausente,Ausente,Ligar a bomba de irrigação,*Relatório:* - Umidade baixa (<40%) - pH ácido (<5.5)  *Feedback:* - Irrigação recomendada - Atenção ao pH ácido - Fósforo e Potássio ausentes  *Sugestões:* - Aplicar calcário para corrigir acidez. - Aplicar adubos ricos em fósforo (P) e potássio (K).
17/06/2025 12:37,73,6.5,Presente,Presente,Desligar a bomba de irrigação,*Relatório:* - Umidade ideal (40‑80%) - pH ideal (5.5‑8.0)  *Feedback:* - Sem necessidade urgente - P e K presentes
17/06/2025 12:37,61,4.1,Ausente,Presente,Desligar a bomba de irrigação,"*Relatório:* - Umidade ideal (40‑80%) - pH ácido (<5.5)  *Feedback:* - Sem necessidade urgente - Atenção ao pH ácido - Fósforo ausente  *Sugestões:* - Aplicar calcário para corrigir acidez. - Aplicar fertilizantes com fósforo, como superfosfato."
17/06/2025 12:38,50,5.7,Ausente,Presente,Desligar a bomba de irrigação,"*Relatório:* - Umidade ideal (40‑80%) - pH ideal (5.5‑8.0)  *Feedback:* - Sem necessidade urgente - Fósforo ausente  *Sugestões:* - Aplicar fertilizantes com fósforo, como superfosfato."
17/06/2025 12:38,50,5.7,Ausente,Ausente,Desligar a bomba de irrigação,*Relatório:* - Umidade ideal (40‑80%) - pH ideal (5.5‑8.0)  *Feedback:* - Sem necessidade urgente - Fósforo e Potássio ausentes  *Sugestões:* - Aplicar adubos ricos em fósforo (P) e potássio (K).
